MapDate,AreaOfInterest,None,D0,D1,D2,D3,D4,ValidStart,ValidEnd,StatisticFormatID,date,pct_ge_D1,pct_ge_D2
20130305,Total,36.44,63.56,44.93,30.49,14.25,4.55,2013-03-05,2013-03-11,1,2013-03-05,94.22,49.28999999999999
20130226,Total,35.09,64.91,45.63,30.42,14.18,4.55,2013-02-26,2013-03-04,1,2013-02-26,94.78000000000002,49.15
20130219,Total,34.7,65.3,47.01,31.31,15.6,5.57,2013-02-19,2013-02-25,1,2013-02-19,99.48999999999998,52.48
20130212,Total,35.49,64.51,46.94,31.58,14.81,5.52,2013-02-12,2013-02-18,1,2013-02-12,98.85,51.91
20130205,Total,33.76,66.24,47.86,33.58,15.97,5.72,2013-02-05,2013-02-11,1,2013-02-05,103.13,55.269999999999996
20130129,Total,31.13,68.87,48.59,33.99,16.19,5.32,2013-01-29,2013-02-04,1,2013-01-29,104.09,55.50000000000001
20130122,Total,31.09,68.91,48.55,33.53,16.15,5.31,2013-01-22,2013-01-28,1,2013-01-22,103.53999999999999,54.99
20130115,Total,30.78,69.22,49.58,33.72,16.22,5.27,2013-01-15,2013-01-21,1,2013-01-15,104.78999999999999,55.209999999999994
20130108,Total,29.45,70.55,50.74,34.89,17.4,5.6,2013-01-08,2013-01-14,1,2013-01-08,108.63,57.89
20130101,Total,28.56,71.44,51.45,35.18,17.82,5.64,2013-01-01,2013-01-07,1,2013-01-01,110.08999999999999,58.64
20121225,Total,27.68,72.32,51.76,35.52,18.06,5.62,2012-12-25,2012-12-31,1,2012-12-25,110.96000000000001,59.199999999999996
20121218,Total,30.65,69.35,51.74,35.56,18.12,5.54,2012-12-18,2012-12-24,1,2012-12-18,110.96000000000002,59.220000000000006
20121211,Total,30.56,69.44,51.82,35.63,17.62,5.43,2012-12-11,2012-12-17,1,2012-12-11,110.5,58.68
20121204,Total,28.65,71.35,52.24,35.32,17.25,5.43,2012-12-04,2012-12-10,1,2012-12-04,110.24000000000001,58.0
20121127,Total,28.81,71.19,52.44,34.76,16.83,5.34,2012-11-27,2012-12-03,1,2012-11-27,109.36999999999999,56.92999999999999
20121120,Total,33.44,66.56,50.31,31.67,15.93,5.24,2012-11-20,2012-11-26,1,2012-11-20,103.14999999999999,52.84
20121113,Total,34.54,65.46,49.25,30.11,15.31,5.02,2012-11-13,2012-11-19,1,2012-11-13,99.69,50.44
20121106,Total,34.48,65.52,49.8,31.85,16.19,5.16,2012-11-06,2012-11-12,1,2012-11-06,103.0,53.2
20121030,Total,34.22,65.78,50.36,32.02,15.93,4.92,2012-10-30,2012-11-05,1,2012-10-30,103.23,52.870000000000005
20121023,Total,32.98,67.02,51.72,32.33,16.33,4.88,2012-10-23,2012-10-29,1,2012-10-23,105.25999999999999,53.54
20121016,Total,32.45,67.55,52.22,32.49,15.96,4.88,2012-10-16,2012-10-22,1,2012-10-16,105.55000000000001,53.330000000000005
20121009,Total,30.99,69.01,53.18,33.39,16.86,5.17,2012-10-09,2012-10-15,1,2012-10-09,108.6,55.42
20121002,Total,31.69,68.31,54.05,33.52,16.83,5.07,2012-10-02,2012-10-08,1,2012-10-02,109.47,55.42
20120925,Total,31.1,68.9,54.78,35.24,17.97,5.12,2012-09-25,2012-10-01,1,2012-09-25,113.11000000000001,58.33
20120918,Total,29.8,70.2,54.26,34.36,17.35,4.98,2012-09-18,2012-09-24,1,2012-09-18,110.95,56.69
20120911,Total,29.48,70.52,53.7,34.98,17.64,5.2,2012-09-11,2012-09-17,1,2012-09-11,111.52000000000001,57.82
20120904,Total,30.37,69.63,53.07,35.54,17.94,5.13,2012-09-04,2012-09-10,1,2012-09-04,111.67999999999999,58.61000000000001
20120828,Total,30.18,69.82,52.64,35.42,19.38,5.05,2012-08-28,2012-09-03,1,2012-08-28,112.49,59.849999999999994
20120821,Total,30.53,69.47,52.9,36.84,19.24,5.27,2012-08-21,2012-08-27,1,2012-08-21,114.25,61.349999999999994
20120814,Total,30.19,69.81,51.71,38.1,19.8,5.23,2012-08-14,2012-08-20,1,2012-08-14,114.84,63.13000000000001
20120807,Total,29.81,70.19,52.28,38.49,20.18,3.51,2012-08-07,2012-08-13,1,2012-08-07,114.46000000000002,62.18
20120731,Total,28.77,71.23,52.66,38.12,18.62,2.52,2012-07-31,2012-08-06,1,2012-07-31,111.92,59.26
20120724,Total,28.19,71.81,53.45,38.12,17.2,1.99,2012-07-24,2012-07-30,1,2012-07-24,110.75999999999999,57.309999999999995
20120717,Total,27.62,72.38,53.18,35.33,11.32,0.83,2012-07-17,2012-07-23,1,2012-07-17,100.65999999999998,47.48
20120710,Total,28.3,71.7,50.92,31.11,9.71,0.62,2012-07-10,2012-07-16,1,2012-07-10,92.36000000000001,41.44
20120703,Total,29.29,70.71,46.84,28.66,8.64,0.5,2012-07-03,2012-07-09,1,2012-07-03,84.64,37.8
20120626,Total,32.89,67.11,42.81,25.72,7.15,0.34,2012-06-26,2012-07-02,1,2012-06-26,76.02000000000001,33.21
20120619,Total,39.42,60.58,39.12,20.32,4.35,0.24,2012-06-19,2012-06-25,1,2012-06-19,64.03,24.91
20120612,Total,47.62,52.38,33.24,16.04,3.29,0.24,2012-06-12,2012-06-18,1,2012-06-12,52.81,19.569999999999997
20120605,Total,46.4,53.6,32.34,15.85,3.86,0.5,2012-06-05,2012-06-11,1,2012-06-05,52.550000000000004,20.21
20120529,Total,46.4,53.6,31.31,15.87,4.38,0.55,2012-05-29,2012-06-04,1,2012-05-29,52.11,20.8
20120522,Total,47.83,52.17,29.58,16.31,4.98,0.8,2012-05-22,2012-05-28,1,2012-05-22,51.67,22.09
20120515,Total,54.12,45.88,28.18,15.41,4.78,0.85,2012-05-15,2012-05-21,1,2012-05-15,49.220000000000006,21.040000000000003
20120508,Total,53.01,46.99,30.05,16.46,5.67,1.34,2012-05-08,2012-05-14,1,2012-05-08,53.52000000000001,23.470000000000002
20120501,Total,50.33,49.67,31.98,17.09,5.79,1.61,2012-05-01,2012-05-07,1,2012-05-01,56.47,24.49
20120424,Total,50.25,49.75,31.05,16.73,5.58,1.55,2012-04-24,2012-04-30,1,2012-04-24,54.91,23.860000000000003
20120417,Total,50.23,49.77,30.94,16.43,5.5,1.58,2012-04-17,2012-04-23,1,2012-04-17,54.45,23.509999999999998
20120410,Total,49.04,50.96,32.11,16.87,5.64,1.72,2012-04-10,2012-04-16,1,2012-04-10,56.34,24.23
20120403,Total,49.67,50.33,30.79,16.47,5.57,1.61,2012-04-03,2012-04-09,1,2012-04-03,54.44,23.65
20120327,Total,52.75,47.25,30.09,16.27,5.63,1.8,2012-03-27,2012-04-02,1,2012-03-27,53.79,23.7
20120320,Total,53.05,46.95,32.09,16.09,5.76,1.84,2012-03-20,2012-03-26,1,2012-03-20,55.78000000000001,23.69
20120313,Total,51.24,48.76,33.3,17.49,6.1,2.02,2012-03-13,2012-03-19,1,2012-03-13,58.91,25.609999999999996
20120306,Total,52.12,47.88,32.68,16.18,6.06,2.04,2012-03-06,2012-03-12,1,2012-03-06,56.96,24.279999999999998
20120228,Total,51.83,48.17,32.38,16.36,6.39,2.09,2012-02-28,2012-03-05,1,2012-02-28,57.22,24.84
20120221,Total,52.02,47.98,31.78,14.54,6.39,2.03,2012-02-21,2012-02-27,1,2012-02-21,54.74,22.96
20120214,Total,51.94,48.06,31.69,15.07,7.79,2.69,2012-02-14,2012-02-20,1,2012-02-14,57.24,25.55
20120207,Total,52.2,47.8,31.73,15.1,7.67,2.63,2012-02-07,2012-02-13,1,2012-02-07,57.13,25.4
20120131,Total,51.25,48.75,31.73,15.44,8.03,2.66,2012-01-31,2012-02-06,1,2012-01-31,57.86,26.13
20120124,Total,51.22,48.78,30.34,15.46,8.19,2.29,2012-01-24,2012-01-30,1,2012-01-24,56.279999999999994,25.939999999999998
20120117,Total,52.33,47.67,27.25,15.73,8.53,2.31,2012-01-17,2012-01-23,1,2012-01-17,53.82000000000001,26.569999999999997
20120110,Total,55.03,44.97,27.28,15.78,8.16,2.2,2012-01-10,2012-01-16,1,2012-01-10,53.42,26.139999999999997
20120103,Total,58.47,41.53,26.73,15.78,8.51,2.77,2012-01-03,2012-01-09,1,2012-01-03,53.79,27.06
20111227,Total,58.87,41.13,23.89,15.89,8.37,2.76,2011-12-27,2012-01-02,1,2011-12-27,50.91,27.019999999999996
20111220,Total,64.18,35.82,23.09,16.24,9.34,3.66,2011-12-20,2011-12-26,1,2011-12-20,52.33,29.24
20111213,Total,64.07,35.93,23.52,17.47,10.75,3.83,2011-12-13,2011-12-19,1,2011-12-13,55.56999999999999,32.05
20111206,Total,65.86,34.14,23.63,17.63,11.55,4.01,2011-12-06,2011-12-12,1,2011-12-06,56.82,33.19
20111129,Total,65.58,34.42,24.61,18.33,12.51,5.0,2011-11-29,2011-12-05,1,2011-11-29,60.449999999999996,35.839999999999996
20111122,Total,63.91,36.09,26.15,19.42,13.8,6.78,2011-11-22,2011-11-28,1,2011-11-22,66.15,40.0
20111115,Total,63.18,36.82,26.74,20.08,14.39,7.27,2011-11-15,2011-11-21,1,2011-11-15,68.47999999999999,41.739999999999995
20111108,Total,62.95,37.05,27.8,20.08,14.63,7.34,2011-11-08,2011-11-14,1,2011-11-08,69.85,42.05
20111101,Total,63.88,36.12,27.32,20.38,14.82,7.4,2011-11-01,2011-11-07,1,2011-11-01,69.92,42.6
20111025,Total,65.54,34.46,25.39,20.04,14.43,7.98,2011-10-25,2011-10-31,1,2011-10-25,67.84,42.45
20111018,Total,65.85,34.15,25.04,19.82,14.57,8.28,2011-10-18,2011-10-24,1,2011-10-18,67.71,42.67
20111011,Total,64.6,35.4,25.54,19.96,14.31,8.15,2011-10-11,2011-10-17,1,2011-10-11,67.96000000000001,42.42
20111004,Total,62.35,37.65,25.14,19.88,15.04,9.77,2011-10-04,2011-10-10,1,2011-10-04,69.83,44.69
20110927,Total,63.45,36.55,24.42,19.61,14.88,9.5,2011-09-27,2011-10-03,1,2011-09-27,68.41,43.99
20110920,Total,64.09,35.91,25.53,19.78,15.03,9.48,2011-09-20,2011-09-26,1,2011-09-20,69.82000000000001,44.290000000000006
20110913,Total,62.08,37.92,25.86,20.16,15.49,9.81,2011-09-13,2011-09-19,1,2011-09-13,71.32,45.46
20110906,Total,63.05,36.95,25.14,19.55,15.08,9.36,2011-09-06,2011-09-12,1,2011-09-06,69.13,43.99
20110830,Total,59.26,40.74,27.51,20.68,15.27,9.37,2011-08-30,2011-09-05,1,2011-08-30,72.83,45.32
20110823,Total,59.88,40.12,25.93,19.58,14.4,9.31,2011-08-23,2011-08-29,1,2011-08-23,69.22,43.29
20110816,Total,60.16,39.84,25.97,19.59,14.51,9.05,2011-08-16,2011-08-22,1,2011-08-16,69.12,43.150000000000006
20110809,Total,60.05,39.95,27.52,20.68,15.44,9.58,2011-08-09,2011-08-15,1,2011-08-09,73.22,45.699999999999996
20110802,Total,60.03,39.97,27.06,21.04,15.28,9.13,2011-08-02,2011-08-08,1,2011-08-02,72.50999999999999,45.45
20110726,Total,62.97,37.03,24.67,19.93,15.2,9.23,2011-07-26,2011-08-01,1,2011-07-26,69.03,44.36
20110719,Total,66.05,33.95,23.76,19.4,15.06,9.11,2011-07-19,2011-07-25,1,2011-07-19,67.33,43.57
20110712,Total,66.75,33.25,24.0,19.79,15.6,9.99,2011-07-12,2011-07-18,1,2011-07-12,69.38,45.38
20110705,Total,65.31,34.69,24.49,19.7,15.55,9.83,2011-07-05,2011-07-11,1,2011-07-05,69.57,45.08
20110628,Total,65.21,34.79,23.49,19.45,15.35,9.97,2011-06-28,2011-07-04,1,2011-06-28,68.26,44.769999999999996
20110621,Total,68.4,31.6,22.83,18.68,15.04,9.89,2011-06-21,2011-06-27,1,2011-06-21,66.44,43.61
20110614,Total,68.11,31.89,22.69,18.21,13.72,7.54,2011-06-14,2011-06-20,1,2011-06-14,62.160000000000004,39.47
20110607,Total,68.72,31.28,22.42,17.81,13.15,6.52,2011-06-07,2011-06-13,1,2011-06-07,59.900000000000006,37.480000000000004
20110531,Total,71.01,28.99,21.41,17.29,12.27,5.23,2011-05-31,2011-06-06,1,2011-05-31,56.2,34.79
20110524,Total,70.78,29.22,21.34,16.93,11.24,4.69,2011-05-24,2011-05-30,1,2011-05-24,54.199999999999996,32.86
20110517,Total,70.23,29.77,22.09,17.29,11.01,5.04,2011-05-17,2011-05-23,1,2011-05-17,55.42999999999999,33.339999999999996
20110510,Total,68.98,31.02,22.14,17.16,10.43,4.96,2011-05-10,2011-05-16,1,2011-05-10,54.69,32.55
20110503,Total,69.0,31.0,22.13,16.1,9.74,2.61,2011-05-03,2011-05-09,1,2011-05-03,50.580000000000005,28.450000000000003
20110426,Total,68.32,31.68,22.29,15.46,9.07,1.39,2011-04-26,2011-05-02,1,2011-04-26,48.21,25.92
20110419,Total,66.31,33.69,22.97,15.87,8.25,1.19,2011-04-19,2011-04-25,1,2011-04-19,48.279999999999994,25.31
20110412,Total,65.71,34.29,23.88,15.31,7.52,0.78,2011-04-12,2011-04-18,1,2011-04-12,47.489999999999995,23.61
20110405,Total,65.61,34.39,24.11,15.19,7.31,0.35,2011-04-05,2011-04-11,1,2011-04-05,46.96,22.85
20110329,Total,65.0,35.0,23.6,15.24,5.36,0.0,2011-03-29,2011-04-04,1,2011-03-29,44.2,20.6
20110322,Total,64.11,35.89,22.95,12.47,3.98,0.0,2011-03-22,2011-03-28,1,2011-03-22,39.4,16.45
20110315,Total,64.29,35.71,21.77,10.91,2.8,0.0,2011-03-15,2011-03-21,1,2011-03-15,35.48,13.71
20110308,Total,63.12,36.88,23.07,10.51,2.24,0.0,2011-03-08,2011-03-14,1,2011-03-08,35.82,12.75
20110301,Total,61.27,38.73,23.44,10.43,1.92,0.0,2011-03-01,2011-03-07,1,2011-03-01,35.790000000000006,12.35
20110222,Total,60.56,39.44,23.64,9.57,1.73,0.0,2011-02-22,2011-02-28,1,2011-02-22,34.94,11.3
20110215,Total,58.28,41.72,20.9,8.04,1.2,0.0,2011-02-15,2011-02-21,1,2011-02-15,30.139999999999997,9.239999999999998
20110208,Total,59.1,40.9,20.34,8.08,1.2,0.0,2011-02-08,2011-02-14,1,2011-02-08,29.62,9.28
20110201,Total,58.35,41.65,20.2,8.86,1.34,0.0,2011-02-01,2011-02-07,1,2011-02-01,30.4,10.2
20110125,Total,61.5,38.5,20.14,7.5,1.74,0.0,2011-01-25,2011-01-31,1,2011-01-25,29.38,9.24
20110118,Total,62.41,37.59,19.23,6.67,1.82,0.0,2011-01-18,2011-01-24,1,2011-01-18,27.72,8.49
20110111,Total,63.5,36.5,19.4,6.42,1.99,0.0,2011-01-11,2011-01-17,1,2011-01-11,27.81,8.41
20110104,Total,63.43,36.57,18.23,7.13,2.17,0.0,2011-01-04,2011-01-10,1,2011-01-04,27.53,9.3
20101228,Total,62.22,37.78,19.9,7.6,1.98,0.0,2010-12-28,2011-01-03,1,2010-12-28,29.48,9.58
20101221,Total,62.14,37.86,19.57,7.06,1.64,0.0,2010-12-21,2010-12-27,1,2010-12-21,28.27,8.7
20101214,Total,61.45,38.55,16.62,6.03,1.2,0.0,2010-12-14,2010-12-20,1,2010-12-14,23.85,7.23
20101207,Total,61.19,38.81,14.97,5.88,1.1,0.0,2010-12-07,2010-12-13,1,2010-12-07,21.950000000000003,6.98
20101130,Total,61.12,38.88,14.02,5.1,0.68,0.0,2010-11-30,2010-12-06,1,2010-11-30,19.799999999999997,5.779999999999999
20101123,Total,61.74,38.26,14.38,5.42,0.99,0.0,2010-11-23,2010-11-29,1,2010-11-23,20.79,6.41
20101116,Total,60.92,39.08,13.89,5.06,1.08,0.0,2010-11-16,2010-11-22,1,2010-11-16,20.03,6.14
20101109,Total,62.12,37.88,13.89,5.44,1.17,0.0,2010-11-09,2010-11-15,1,2010-11-09,20.5,6.61
20101102,Total,63.24,36.76,13.28,5.47,1.15,0.0,2010-11-02,2010-11-08,1,2010-11-02,19.9,6.619999999999999
20101026,Total,65.18,34.82,12.87,5.02,1.04,0.01,2010-10-26,2010-11-01,1,2010-10-26,18.94,6.069999999999999
20101019,Total,61.94,38.06,12.53,4.77,0.95,0.01,2010-10-19,2010-10-25,1,2010-10-19,18.259999999999998,5.7299999999999995
20101012,Total,63.52,36.48,10.58,3.59,0.49,0.01,2010-10-12,2010-10-18,1,2010-10-12,14.67,4.09
20101005,Total,64.92,35.08,9.92,2.34,0.32,0.01,2010-10-05,2010-10-11,1,2010-10-05,12.59,2.6699999999999995
20100928,Total,61.92,38.08,11.13,2.66,0.31,0.01,2010-09-28,2010-10-04,1,2010-09-28,14.110000000000001,2.98
20100921,Total,66.36,33.64,10.33,2.53,0.31,0.01,2010-09-21,2010-09-27,1,2010-09-21,13.18,2.8499999999999996
20100914,Total,70.57,29.43,8.73,1.94,0.24,0.01,2010-09-14,2010-09-20,1,2010-09-14,10.92,2.1899999999999995
20100907,Total,72.54,27.46,7.79,1.61,0.24,0.01,2010-09-07,2010-09-13,1,2010-09-07,9.65,1.86
20100831,Total,70.4,29.6,8.1,1.32,0.18,0.01,2010-08-31,2010-09-06,1,2010-08-31,9.61,1.51
20100824,Total,74.24,25.76,6.82,1.28,0.18,0.01,2010-08-24,2010-08-30,1,2010-08-24,8.29,1.47
20100817,Total,72.92,27.08,7.19,1.47,0.18,0.01,2010-08-17,2010-08-23,1,2010-08-17,8.85,1.66
20100810,Total,74.82,25.18,7.08,1.7,0.3,0.01,2010-08-10,2010-08-16,1,2010-08-10,9.09,2.01
20100803,Total,75.51,24.49,6.96,1.72,0.3,0.01,2010-08-03,2010-08-09,1,2010-08-03,8.99,2.03
20100727,Total,73.48,26.52,7.61,1.62,0.29,0.01,2010-07-27,2010-08-02,1,2010-07-27,9.53,1.9200000000000002
20100720,Total,71.08,28.92,7.03,1.23,0.26,0.01,2010-07-20,2010-07-26,1,2010-07-20,8.53,1.5
20100713,Total,72.69,27.31,6.67,1.19,0.26,0.01,2010-07-13,2010-07-19,1,2010-07-13,8.129999999999999,1.46
20100706,Total,73.0,27.0,6.6,1.23,0.26,0.01,2010-07-06,2010-07-12,1,2010-07-06,8.1,1.5
20100629,Total,71.48,28.52,7.51,1.63,0.38,0.01,2010-06-29,2010-07-05,1,2010-06-29,9.530000000000001,2.0199999999999996
20100622,Total,71.32,28.68,7.86,1.78,0.45,0.01,2010-06-22,2010-06-28,1,2010-06-22,10.1,2.2399999999999998
20100615,Total,74.39,25.61,7.62,1.97,0.45,0.01,2010-06-15,2010-06-21,1,2010-06-15,10.049999999999999,2.4299999999999997
20100608,Total,75.23,24.77,8.0,2.55,0.45,0.01,2010-06-08,2010-06-14,1,2010-06-08,11.01,3.01
20100601,Total,70.67,29.33,8.59,2.79,0.44,0.01,2010-06-01,2010-06-07,1,2010-06-01,11.829999999999998,3.2399999999999998
20100525,Total,73.52,26.48,8.14,2.14,0.2,0.01,2010-05-25,2010-05-31,1,2010-05-25,10.49,2.35
20100518,Total,71.91,28.09,8.72,2.36,0.07,0.01,2010-05-18,2010-05-24,1,2010-05-18,11.16,2.4399999999999995
20100511,Total,67.8,32.2,9.56,2.26,0.04,0.01,2010-05-11,2010-05-17,1,2010-05-11,11.87,2.3099999999999996
20100504,Total,67.27,32.73,9.17,2.26,0.04,0.01,2010-05-04,2010-05-10,1,2010-05-04,11.479999999999999,2.3099999999999996
20100427,Total,65.89,34.11,9.0,2.26,0.04,0.01,2010-04-27,2010-05-03,1,2010-04-27,11.309999999999999,2.3099999999999996
20100420,Total,67.16,32.84,8.54,1.92,0.04,0.01,2010-04-20,2010-04-26,1,2010-04-20,10.509999999999998,1.97
20100413,Total,66.9,33.1,7.72,1.73,0.04,0.01,2010-04-13,2010-04-19,1,2010-04-13,9.499999999999998,1.78
20100406,Total,69.46,30.54,7.69,1.75,0.04,0.01,2010-04-06,2010-04-12,1,2010-04-06,9.49,1.8
20100330,Total,70.78,29.22,7.63,1.75,0.05,0.01,2010-03-30,2010-04-05,1,2010-03-30,9.44,1.81
20100323,Total,71.16,28.84,7.97,1.92,0.05,0.01,2010-03-23,2010-03-29,1,2010-03-23,9.950000000000001,1.98
20100316,Total,70.51,29.49,7.88,1.99,0.05,0.01,2010-03-16,2010-03-22,1,2010-03-16,9.93,2.05
20100309,Total,68.89,31.11,8.13,2.02,0.05,0.01,2010-03-09,2010-03-15,1,2010-03-09,10.21,2.0799999999999996
20100302,Total,70.51,29.49,7.52,1.37,0.03,0.01,2010-03-02,2010-03-08,1,2010-03-02,8.93,1.4100000000000001
20100223,Total,70.12,29.88,7.69,1.4,0.02,0.0,2010-02-23,2010-03-01,1,2010-02-23,9.11,1.42
20100216,Total,69.78,30.22,7.5,1.31,0.02,0.0,2010-02-16,2010-02-22,1,2010-02-16,8.83,1.33
20100209,Total,70.84,29.16,6.64,1.2,0.02,0.0,2010-02-09,2010-02-15,1,2010-02-09,7.859999999999999,1.22
20100202,Total,70.89,29.11,7.21,1.23,0.02,0.0,2010-02-02,2010-02-08,1,2010-02-02,8.459999999999999,1.25
20100126,Total,70.2,29.8,7.75,1.4,0.13,0.0,2010-01-26,2010-02-01,1,2010-01-26,9.280000000000001,1.5299999999999998
20100119,Total,67.85,32.15,11.5,4.82,0.32,0.0,2010-01-19,2010-01-25,1,2010-01-19,16.64,5.140000000000001
20100112,Total,67.6,32.4,11.62,5.19,0.32,0.0,2010-01-12,2010-01-18,1,2010-01-12,17.13,5.510000000000001
20100105,Total,71.94,28.06,11.16,3.59,0.17,0.0,2010-01-05,2010-01-11,1,2010-01-05,14.92,3.76
20091229,Total,71.94,28.06,10.46,3.59,0.17,0.0,2009-12-29,2010-01-04,1,2009-12-29,14.22,3.76
20091222,Total,74.39,25.61,10.54,3.59,0.17,0.0,2009-12-22,2009-12-28,1,2009-12-22,14.299999999999999,3.76
20091215,Total,74.27,25.73,10.61,3.76,0.17,0.0,2009-12-15,2009-12-21,1,2009-12-15,14.54,3.9299999999999997
20091208,Total,76.33,23.67,10.86,4.41,0.34,0.0,2009-12-08,2009-12-14,1,2009-12-08,15.61,4.75
20091201,Total,76.36,23.64,11.05,4.41,0.41,0.0,2009-12-01,2009-12-07,1,2009-12-01,15.870000000000001,4.82
20091124,Total,76.34,23.66,11.08,4.47,0.45,0.05,2009-11-24,2009-11-30,1,2009-11-24,16.05,4.97
20091117,Total,78.26,21.74,10.65,4.05,0.33,0.07,2009-11-17,2009-11-23,1,2009-11-17,15.1,4.45
20091110,Total,77.21,22.79,10.94,3.82,0.33,0.07,2009-11-10,2009-11-16,1,2009-11-10,15.16,4.22
20091103,Total,77.86,22.14,10.7,3.84,0.4,0.07,2009-11-03,2009-11-09,1,2009-11-03,15.01,4.3100000000000005
20091027,Total,76.45,23.55,10.06,3.91,0.4,0.07,2009-10-27,2009-11-02,1,2009-10-27,14.440000000000001,4.380000000000001
20091020,Total,73.48,26.52,10.79,4.5,0.58,0.11,2009-10-20,2009-10-26,1,2009-10-20,15.979999999999999,5.19
20091013,Total,71.61,28.39,11.95,5.81,0.54,0.11,2009-10-13,2009-10-19,1,2009-10-13,18.409999999999997,6.46
20091006,Total,70.15,29.85,12.27,4.8,0.63,0.11,2009-10-06,2009-10-12,1,2009-10-06,17.81,5.54
20090929,Total,68.41,31.59,12.61,5.22,1.09,0.23,2009-09-29,2009-10-05,1,2009-09-29,19.15,6.54
20090922,Total,70.54,29.46,12.83,5.22,1.31,0.28,2009-09-22,2009-09-28,1,2009-09-22,19.64,6.81
20090915,Total,70.62,29.38,12.32,4.69,1.17,0.25,2009-09-15,2009-09-21,1,2009-09-15,18.43,6.11
20090908,Total,69.12,30.88,12.62,4.9,1.84,1.18,2009-09-08,2009-09-14,1,2009-09-08,20.54,7.92
20090901,Total,70.83,29.17,11.94,5.03,1.95,1.28,2009-09-01,2009-09-07,1,2009-09-01,20.2,8.26
20090825,Total,69.94,30.06,11.9,5.09,1.95,1.39,2009-08-25,2009-08-31,1,2009-08-25,20.330000000000002,8.43
20090818,Total,67.95,32.05,10.82,5.45,2.15,1.33,2009-08-18,2009-08-24,1,2009-08-18,19.75,8.93
20090811,Total,66.45,33.55,10.74,5.4,2.14,1.24,2009-08-11,2009-08-17,1,2009-08-11,19.52,8.780000000000001
20090804,Total,69.02,30.98,11.18,5.71,2.14,1.24,2009-08-04,2009-08-10,1,2009-08-04,20.27,9.09
20090728,Total,67.91,32.09,11.93,5.75,1.82,1.38,2009-07-28,2009-08-03,1,2009-07-28,20.88,8.95
20090721,Total,65.22,34.78,12.75,5.76,1.82,1.21,2009-07-21,2009-07-27,1,2009-07-21,21.54,8.79
20090714,Total,66.42,33.58,13.26,5.42,1.83,1.32,2009-07-14,2009-07-20,1,2009-07-14,21.83,8.57
20090707,Total,67.85,32.15,12.36,5.2,1.65,1.04,2009-07-07,2009-07-13,1,2009-07-07,20.249999999999996,7.89
20090630,Total,69.36,30.64,11.84,4.65,1.47,0.82,2009-06-30,2009-07-06,1,2009-06-30,18.78,6.94
20090623,Total,71.9,28.1,11.35,4.56,1.14,0.61,2009-06-23,2009-06-29,1,2009-06-23,17.66,6.31
20090616,Total,69.4,30.6,11.89,5.0,1.22,0.56,2009-06-16,2009-06-22,1,2009-06-16,18.669999999999998,6.779999999999999
20090609,Total,69.17,30.83,12.48,5.18,1.29,0.56,2009-06-09,2009-06-15,1,2009-06-09,19.509999999999998,7.029999999999999
20090602,Total,69.92,30.08,12.33,5.1,1.22,0.48,2009-06-02,2009-06-08,1,2009-06-02,19.13,6.799999999999999
20090526,Total,72.43,27.57,12.52,4.78,1.28,0.5,2009-05-26,2009-06-01,1,2009-05-26,19.080000000000002,6.5600000000000005
20090519,Total,69.89,30.11,14.37,6.06,1.59,0.63,2009-05-19,2009-05-25,1,2009-05-19,22.65,8.28
20090512,Total,68.94,31.06,14.37,6.3,2.21,1.1,2009-05-12,2009-05-18,1,2009-05-12,23.98,9.61
20090505,Total,66.05,33.95,14.48,6.2,1.77,0.72,2009-05-05,2009-05-11,1,2009-05-05,23.169999999999998,8.690000000000001
20090428,Total,60.89,39.11,15.35,6.78,1.71,0.72,2009-04-28,2009-05-04,1,2009-04-28,24.56,9.21
20090421,Total,62.13,37.87,16.22,7.51,1.79,0.83,2009-04-21,2009-04-27,1,2009-04-21,26.349999999999994,10.13
20090414,Total,61.96,38.04,17.45,7.85,1.92,0.85,2009-04-14,2009-04-20,1,2009-04-14,28.07,10.62
20090407,Total,60.99,39.01,18.8,7.9,1.82,0.52,2009-04-07,2009-04-13,1,2009-04-07,29.040000000000003,10.24
20090331,Total,57.67,42.33,20.73,6.71,1.82,0.52,2009-03-31,2009-04-06,1,2009-03-31,29.78,9.049999999999999
20090324,Total,52.09,47.91,22.3,6.8,1.59,0.52,2009-03-24,2009-03-30,1,2009-03-24,31.21,8.91
20090317,Total,54.67,45.33,20.54,6.58,1.59,0.52,2009-03-17,2009-03-23,1,2009-03-17,29.229999999999997,8.69
20090310,Total,54.48,45.52,21.57,6.44,1.79,0.71,2009-03-10,2009-03-16,1,2009-03-10,30.51,8.940000000000001
20090303,Total,54.05,45.95,21.55,7.32,1.92,0.71,2009-03-03,2009-03-09,1,2009-03-03,31.5,9.95
20090224,Total,56.82,43.18,20.14,7.56,2.27,0.63,2009-02-24,2009-03-02,1,2009-02-24,30.599999999999998,10.46
20090217,Total,57.03,42.97,17.71,7.82,2.36,0.63,2009-02-17,2009-02-23,1,2009-02-17,28.52,10.81
20090210,Total,55.37,44.63,18.43,8.08,2.41,0.56,2009-02-10,2009-02-16,1,2009-02-10,29.479999999999997,11.05
20090203,Total,59.23,40.77,18.27,7.98,2.41,0.49,2009-02-03,2009-02-09,1,2009-02-03,29.15,10.88
20090127,Total,58.18,41.82,17.71,7.1,2.06,0.31,2009-01-27,2009-02-02,1,2009-01-27,27.18,9.47
