series_id,year,period,period_name,value,month,date
APU0000FD3101,2007,M09,September,3.151,9,2007-09-01
APU0000FD3101,2007,M10,October,3.163,10,2007-10-01
APU0000FD3101,2007,M11,November,3.153,11,2007-11-01
APU0000FD3101,2007,M12,December,3.153,12,2007-12-01
APU0000FD3101,2008,M01,January,3.162,1,2008-01-01
APU0000FD3101,2008,M02,February,3.109,2,2008-02-01
APU0000FD3101,2008,M03,March,3.147,3,2008-03-01
APU0000FD3101,2008,M04,April,3.156,4,2008-04-01
APU0000FD3101,2008,M05,May,3.268,5,2008-05-01
APU0000FD3101,2008,M06,June,3.374,6,2008-06-01
APU0000FD3101,2008,M07,July,3.412,7,2008-07-01
APU0000FD3101,2008,M08,August,3.383,8,2008-08-01
APU0000FD3101,2008,M09,September,3.434,9,2008-09-01
APU0000FD3101,2008,M10,October,3.333,10,2008-10-01
APU0000FD3101,2008,M11,November,3.284,11,2008-11-01
APU0000FD3101,2008,M12,December,3.268,12,2008-12-01
APU0000FD3101,2009,M01,January,3.192,1,2009-01-01
APU0000FD3101,2009,M02,February,3.166,2,2009-02-01
APU0000FD3101,2009,M03,March,3.189,3,2009-03-01
APU0000FD3101,2009,M04,April,3.13,4,2009-04-01
APU0000FD3101,2009,M05,May,3.122,5,2009-05-01
APU0000FD3101,2009,M06,June,3.163,6,2009-06-01
APU0000FD3101,2009,M07,July,3.167,7,2009-07-01
APU0000FD3101,2009,M08,August,3.191,8,2009-08-01
APU0000FD3101,2009,M09,September,3.107,9,2009-09-01
APU0000FD3101,2009,M10,October,3.096,10,2009-10-01
APU0000FD3101,2009,M11,November,2.998,11,2009-11-01
APU0000FD3101,2009,M12,December,3.017,12,2009-12-01
