series_id,year,period,period_name,value,month,date
CUUR0000SEFA,2007,M03,March,191.577,3,2007-03-01
CUUR0000SEFA,2007,M04,April,193.61,4,2007-04-01
CUUR0000SEFA,2007,M05,May,194.634,5,2007-05-01
CUUR0000SEFA,2007,M06,June,195.713,6,2007-06-01
CUUR0000SEFA,2007,M07,July,196.331,7,2007-07-01
CUUR0000SEFA,2007,M08,August,196.594,8,2007-08-01
CUUR0000SEFA,2007,M09,September,196.303,9,2007-09-01
CUUR0000SEFA,2007,M10,October,196.485,10,2007-10-01
CUUR0000SEFA,2007,M11,November,197.142,11,2007-11-01
CUUR0000SEFA,2007,M12,December,196.793,12,2007-12-01
CUUR0000SEFA,2008,M01,January,198.759,1,2008-01-01
CUUR0000SEFA,2008,M02,February,203.571,2,2008-02-01
CUUR0000SEFA,2008,M03,March,207.287,3,2008-03-01
CUUR0000SEFA,2008,M04,April,208.229,4,2008-04-01
CUUR0000SEFA,2008,M05,May,212.808,5,2008-05-01
CUUR0000SEFA,2008,M06,June,214.42,6,2008-06-01
CUUR0000SEFA,2008,M07,July,219.589,7,2008-07-01
CUUR0000SEFA,2008,M08,August,220.057,8,2008-08-01
CUUR0000SEFA,2008,M09,September,220.575,9,2008-09-01
CUUR0000SEFA,2008,M10,October,221.955,10,2008-10-01
CUUR0000SEFA,2008,M11,November,222.948,11,2008-11-01
CUUR0000SEFA,2008,M12,December,222.639,12,2008-12-01
CUUR0000SEFA,2009,M01,January,223.511,1,2009-01-01
CUUR0000SEFA,2009,M02,February,222.064,2,2009-02-01
CUUR0000SEFA,2009,M03,March,221.52,3,2009-03-01
CUUR0000SEFA,2009,M04,April,221.023,4,2009-04-01
CUUR0000SEFA,2009,M05,May,222.117,5,2009-05-01
CUUR0000SEFA,2009,M06,June,221.285,6,2009-06-01
CUUR0000SEFA,2009,M07,July,224.551,7,2009-07-01
CUUR0000SEFA,2009,M08,August,223.497,8,2009-08-01
CUUR0000SEFA,2009,M09,September,221.455,9,2009-09-01
CUUR0000SEFA,2009,M10,October,220.47,10,2009-10-01
CUUR0000SEFA,2009,M11,November,220.2,11,2009-11-01
CUUR0000SEFA,2009,M12,December,219.487,12,2009-12-01
