ï»¿Year,Month,Month_Number,Data_Item,Value,Units
2025.0,February,2.0,Consumer price index all items,319.082,1982-84=100
2025.0,March,3.0,Consumer price index all items,319.799,1982-84=100
2025.0,April,4.0,Consumer price index all items,320.795,1982-84=100
2025.0,May,5.0,Consumer price index all items,321.465,1982-84=100
2025.0,June,6.0,Consumer price index all items,322.561,1982-84=100
2025.0,July,7.0,Consumer price index all items,323.048,1982-84=100
2025.0,February,2.0,Consumer price index all food,336.274,1982-84=100
2025.0,March,3.0,Consumer price index all food,337.751,1982-84=100
2025.0,April,4.0,Consumer price index all food,337.747,1982-84=100
2025.0,May,5.0,Consumer price index all food,338.598,1982-84=100
2025.0,June,6.0,Consumer price index all food,339.498,1982-84=100
2025.0,July,7.0,Consumer price index all food,340.036,1982-84=100
2025.0,February,2.0,Consumer price index all meat,340.777,1982-84=100
2025.0,March,3.0,Consumer price index all meat,346.005,1982-84=100
2025.0,April,4.0,Consumer price index all meat,346.53,1982-84=100
2025.0,May,5.0,Consumer price index all meat,347.384,1982-84=100
2025.0,June,6.0,Consumer price index all meat,351.703,1982-84=100
2025.0,July,7.0,Consumer price index all meat,357.909,1982-84=100
